WJSpecID,Scientific,ScientificGenus,English,help1,help2,EnglishGenus,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder
98,Nothoprocta taczanowskii,Nothoprocta,Taczanowski's Tinamou,14,#VALUE!,Tinamou,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
100,Nothoprocta ornata,Nothoprocta,Ornate Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
101,Nothoprocta pentlandii,Nothoprocta,Andean Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
102,Nothoprocta cinerascens,Nothoprocta,Brushland Tinamou,10,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
103,Nothoprocta perdicaria,Nothoprocta,Chilean Tinamou,8,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
104,Nothoprocta curvirostris,Nothoprocta,Curve-billed Tinamou,13,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
105,Nothura darwinii,Nothura,Darwin's Nothura,9,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
106,Nothura chacoensis,Nothura,Chaco Nothura,6,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
107,Nothura maculosa,Nothura,Spotted Nothura,8,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
108,Nothura minor,Nothura,Lesser Nothura,7,#VALUE!,Nothura,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
109,Nothura boraquira,Nothura,White-bellied Nothura,14,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
110,Taoniscus nanus,Taoniscus,Dwarf Tinamou,6,#VALUE!,Tinamou,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
111,Eudromia elegans,Eudromia,Elegant Crested-tinamou,8,#VALUE!,Crested-tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
112,Eudromia formosa,Eudromia,Quebracho Crested-tinamou,10,#VALUE!,Crested-tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
113,Tinamotis pentlandii,Tinamotis,Puna Tinamou,5,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
114,Tinamotis ingoufi,Tinamotis,Patagonian Tinamou,11,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
137,Ortalis vetula,Ortalis,Plain Chachalaca,6,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
138,Ortalis cinereiceps,Ortalis,Grey-headed Chachalaca,12,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
139,Ortalis garrula,Ortalis,Chestnut-winged Chachalaca,16,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
140,Ortalis ruficauda,Ortalis,Rufous-vented Chachalaca,14,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
142,Ortalis erythroptera,Ortalis,Rufous-headed Chachalaca,14,#VALUE!,Chachalaca,VU,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
143,Ortalis wagleri,Ortalis,Rufous-bellied Chachalaca,15,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
144,Ortalis poliocephala,Ortalis,West Mexican Chachalaca,5,13,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
145,Ortalis canicollis,Ortalis,Chaco Chachalaca,6,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
146,Ortalis leucogastra,Ortalis,White-bellied Chachalaca,14,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
147,Ortalis guttata,Ortalis,Speckled Chachalaca,9,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
148,Ortalis motmot,Ortalis,Little Chachalaca,7,#VALUE!,Chachalaca,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
149,Ortalis superciliaris,Ortalis,Buff-browed Chachalaca,12,#VALUE!,Chachalaca,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
150,Penelope argyrotis,Penelope,Band-tailed Guan,12,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
151,Penelope barbata,Penelope,Bearded Guan,8,#VALUE!,Guan,VU,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
152,Penelope ortoni,Penelope,Baudo Guan,6,#VALUE!,Guan,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
153,Penelope montagnii,Penelope,Andean Guan,7,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
154,Penelope marail,Penelope,Marail Guan,7,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
155,Penelope superciliaris,Penelope,Rusty-margined Guan,15,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
156,Penelope dabbenei,Penelope,Red-faced Guan,10,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
157,Penelope purpurascens,Penelope,Crested Guan,8,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
158,Penelope perspicax,Penelope,Cauca Guan,6,#VALUE!,Guan,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
159,Penelope albipennis,Penelope,White-winged Guan,13,#VALUE!,Guan,CR,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
160,Penelope jacquacu,Penelope,Spix's Guan,7,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
161,Penelope obscura,Penelope,Dusky-legged Guan,13,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
162,Penelope pileata,Penelope,White-crested Guan,14,#VALUE!,Guan,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
